index,country,year,ccode,start,end,duration,group_visit,group_order,group_id,global_id,leader,leader_id,office,url,last_accessed,meeting,note,Continent,cap_lat,cap_lng,distance
205,Argentina,2018,ARG,November 29 2018,December 2 2018,3,1,2,81,Xi Jinping|81,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2018-11/30/c_1123788506.htm,January 12 2022,G20 Leaders' Summit,NA,Americas,-34.6036,-58.3814,19263.87548303640
206,Panama,2018,PAN,December 2 2018,December 3 2018,1,1,3,81,Xi Jinping|81,Xi Jinping,3,President,http://www.gov.cn/xinwen/2018-12/03/content_5345362.htm,January 12 2022,NA,NA,Americas,8.9711,-79.5347,14351.156041418100
207,Portugal,2018,PRT,December 4 2018,December 5 2018,1,1,4,81,Xi Jinping|81,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2018-12/04/c_1123807254.htm,January 12 2022,NA,NA,Europe,38.7122,-9.134,9690.967143302890
208,Italy,2019,ITA,March 21 2019,March 24 2019,3,1,1,82,Xi Jinping|82,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2019-03/22/c_1124266654.htm,January 12 2022,NA,NA,Europe,41.8931,12.4828,8147.144457193310
209,Monaco,2019,MCO,March 24 2019,March 24 2019,1,1,2,82,Xi Jinping|82,Xi Jinping,3,President,http://www.xinhuanet.com/world/2019-03/24/c_1124275798.htm,January 12 2022,NA,NA,Europe,43.7333,7.4167,8332.562123132020
210,France,2019,FRA,March 24 2019,March 26 2019,2,1,3,82,Xi Jinping|82,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2019-03/25/c_1124276580.htm,January 12 2022,NA,NA,Europe,48.8567,2.3522,8238.77077033595
211,Russian Federation,2019,RUS,June 5 2019,June 7 2019,2,0,1,,Xi Jinping|solo:211,Xi Jinping,3,President,http://www.xinhuanet.com/world/cnleaders/xijinping/xjpcfrus1906/elszx.htm,January 12 2022,St. Petersburg International Economic Forum,NA,Europe,55.7506,37.6175,5809.313471098180
212,Kyrgyz Republic,2019,KGZ,June 12 2019,June 14 2019,2,1,1,84,Xi Jinping|84,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2019-06/13/c_1124615059.htm,January 12 2022,Shanghai Cooperation Organization,NA,Asia,42.8667,74.5667,3479.038913487960
213,Tajikistan,2019,TJK,June 14 2019,June 16 2019,2,1,2,84,Xi Jinping|84,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2019-06/15/c_1124625879.htm,January 12 2022,Conference on Interaction and Confidence-Building Measures in Asia,NA,Asia,38.5367,68.78,4066.2957656649100
214,North Korea,2019,PRK,June 20 2019,June 21 2019,1,0,1,,Xi Jinping|solo:214,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2019-06/20/c_1124650616.htm,January 12 2022,NA,NA,Asia,39.0167,125.7475,809.4641408419890
215,Nepal,2019,NPL,October 12 2019,October 13 2019,1,0,1,,Xi Jinping|solo:215,Xi Jinping,3,President,http://www.xinhuanet.com/world/2019-10/12/c_1125097588.htm,January 12 2022,NA,NA,Asia,27.71,85.32,3158.6804807292900
216,Greece,2019,GRC,November 10 2019,November 12 2019,2,0,1,,Xi Jinping|solo:216,Xi Jinping,3,President,http://www.xinhuanet.com/world/2019-11/11/c_1125215003.htm,January 12 2022,NA,NA,Europe,37.9842,23.7281,7634.910503329010
217,Myanmar,2020,MMR,January 17 2020,January 18 2020,1,0,1,,Xi Jinping|solo:217,Xi Jinping,3,President,http://www.xinhuanet.com/politics/leaders/2020-01/17/c_1125475101.htm,January 12 2022,NA,NA,Asia,16.795,96.16,3223.410875290340
221,United Kingdom,1998,GBR,March 31 1998,April 5 1998,5,1,1,2,Zhu Rongji|2,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1998-04/01/GB/17649%5EGM1-0121.HTM,January 13 2022,Asia-Europe Meeting,NA,Europe,51.5072,-0.1275,8162.979802551350
222,France,1998,FRA,April 5 1998,April 7 1998,2,1,2,2,Zhu Rongji|2,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1998-04/08/GB/17656%5EGM1-0812.HTM,January 13 2022,NA,NA,Europe,48.8567,2.3522,8238.77077033595
223,Russian Federation,1999,RUS,February 24 1999,February 27 1999,3,0,1,,Zhu Rongji|solo:223,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-02/25/GB/17978%5EGM1-2519.HTM,January 13 2022,NA,NA,Europe,55.7506,37.6175,5809.313471098180
224,United States,1999,USA,April 6 1999,April 14 1999,8,1,1,4,Zhu Rongji|4,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-04/07/GB/18019%5EGM1-0716.HTM,January 13 2022,NA,NA,Americas,38.9047,-77.0163,11171.267620605200
225,Canada,1999,CAN,April 14 1999,April 20 1999,6,1,2,4,Zhu Rongji|4,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-04/16/GB/18028%5EGM1-1614.HTM,January 13 2022,NA,NA,Americas,45.4247,-75.695,10476.325449049400
226,Malaysia,1999,MYS,November 22 1999,November 26 1999,4,1,1,5,Zhu Rongji|5,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-11/23/GB/GM%5E18249%5E1%5EGM1-2311.HTM,January 13 2022,NA,NA,Asia,3.1686,101.698,4330.660041896570
227,Philippines,1999,PHL,November 26 1999,November 29 1999,3,1,2,5,Zhu Rongji|5,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-11/27/GB/GM%5E18253%5E1%5EGM1-2713.HTM,January 13 2022,ASEAN,NA,Asia,14.5958,120.9772,2839.8394695885400
228,Singapore,1999,SGP,November 29 1999,December 1 1999,2,1,3,5,Zhu Rongji|5,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-11/30/GB/GM%5E18256%5E1%5EGM1-3005.HTM,January 13 2022,NA,NA,Asia,1.3,103.8,4461.914565010560
229,Vietnam,1999,VNM,December 1 1999,December 4 1999,3,1,4,5,Zhu Rongji|5,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/1999-12/02/GB/GM%5E18258%5E1%5EGM1-0209.HTM,January 13 2022,NA,NA,Asia,21,105.85,2323.9538310795200
230,Bulgaria,2000,BGR,June 27 2000,June 29 2000,2,1,1,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-06/16/GB/06%5E18453%5E0%5EGMA1-114.htm,January 14 2022,NA,NA,Europe,42.6979,23.3217,7371.9439515947200
231,Germany,2000,DEU,June 29 2000,July 3 2000,4,1,2,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-07/01/GB/06%5E18468%5E0%5EGMA1-014.htm,January 14 2022,NA,NA,Europe,52.52,13.405,7377.456964000470
232,Luxembourg,2000,LUX,July 3 2000,July 4 2000,1,1,3,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-07/05/GB/07%5E18472%5E0%5EGMA1-007.htm,January 14 2022,NA,NA,Europe,49.6117,6.1319,7977.972409922070
233,Netherlands,2000,NLD,July 4 2000,July 5 2000,1,1,4,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-07/06/GB/07%5E18473%5E0%5EGMA1-011.htm,January 14 2022,NA,NA,Europe,52.3728,4.8936,7843.416444963650
234,Italy,2000,ITA,July 5 2000,July 9 2000,4,1,5,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-07/07/GB/07%5E18474%5E0%5EGMA1-016.htm,January 14 2022,NA,NA,Europe,41.8931,12.4828,8147.144457193310
235,Belgium,2000,BEL,July 9 2000,July 11 2000,2,1,6,6,Zhu Rongji|6,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-07/11/GB/07%5E18478%5E0%5EGMA1-109.htm,January 14 2022,NA,NA,Europe,50.8467,4.3525,7983.3477348804
236,Japan,2000,JPN,October 12 2000,October 17 2000,5,1,1,7,Zhu Rongji|7,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-10/13/GB/10%5E18572%5E0%5EGMA1-110.htm,January 14 2022,NA,NA,Asia,35.687,139.7495,2101.9517286556700
237,"Korea, Republic of",2000,KOR,October 17 2000,October 22 2000,5,1,2,7,Zhu Rongji|7,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2000-10/18/GB/10%5E18577%5E0%5EGMA1-107.htm,January 14 2022,Asia-Europe Meeting,NA,Asia,37.5667,126.9833,954.7917254354350
238,Pakistan,2001,PAK,May 11 2001,May 14 2001,3,1,1,8,Zhu Rongji|8,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-05/12/01-C7A06C472FAB112C48256A490082B5A5.htm,January 14 2022,NA,NA,Asia,33.6931,73.0639,3890.363787500010
239,Nepal,2001,NPL,May 14 2001,May 16 2001,2,1,2,8,Zhu Rongji|8,Zhu Rongji,1,Premier,https://www.chinanews.com.cn/2001-05-16/26/91632.html,January 14 2022,NA,NA,Asia,27.71,85.32,3158.6804807292900
240,Maldives,2001,MDV,May 16 2001,May 17 2001,1,1,3,8,Zhu Rongji|8,Zhu Rongji,1,Premier,https://www.chinanews.com.cn/2001-05-16/26/91632.html,January 14 2022,NA,NA,Asia,4.1753,73.5089,5844.987596127140
241,Sri Lanka,2001,LKA,May 17 2001,May 19 2001,2,1,4,8,Zhu Rongji|8,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-05/18/01-2E2CDE4D987438C648256A4F008052A7.htm,January 14 2022,NA,NA,Asia,6.9167,79.8333,5160.745316141560
242,Thailand,2001,THA,May 19 2001,May 22 2001,3,1,5,8,Zhu Rongji|8,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-05/20/01-01736F9DF706961448256A5200002258.htm,January 14 2022,NA,NA,Asia,13.7525,100.4942,3289.2821459423700
243,Ireland,2001,IRL,September 2 2001,September 5 2001,3,1,1,9,Zhu Rongji|9,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-09/03/01-6A254E4C0F768D4C48256ABB00812A69.htm,January 15 2022,NA,NA,Europe,53.3497,-6.2603,8304.716070557830
244,Belgium,2001,BEL,September 5 2001,September 7 2001,2,1,2,9,Zhu Rongji|9,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-09/06/01-97E0B2D183D0273548256ABE0082596B.htm,January 15 2022,China-EU Summit,NA,Europe,50.8467,4.3525,7983.3477348804
245,Russian Federation,2001,RUS,September 7 2001,September 12 2001,5,1,3,9,Zhu Rongji|9,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-09/08/01-4127CB5E1B8DC1E448256AC000657B05.htm,January 15 2022,NA,NA,Europe,55.7506,37.6175,5809.313471098180
246,Kazakhstan,2001,KAZ,September 12 2001,September 15 2001,3,1,4,9,Zhu Rongji|9,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2001-09/13/01-47D2AC81280380BA48256AC500823175.htm,January 15 2022,Shanghai Cooperation Organization,NA,Asia,51.1472,71.4222,3663.3535123454000
247,Indonesia,2001,IDN,November 7 2001,November 11 2001,4,0,1,,Zhu Rongji|solo:247,Zhu Rongji,1,Premier,https://www.chinanews.com.cn/2001-11-07/26/136792.html,January 15 2022,NA,NA,Asia,-6.175,106.8275,5195.8095348361600
248,Bangladesh,2002,BGD,January 11 2002,January 13 2002,2,1,1,11,Zhu Rongji|11,Zhu Rongji,1,Premier,https://www.chinanews.com.cn/2002-01-11/26/153713.html,January 15 2022,NA,NA,Asia,23.7289,90.3944,3027.5947161752700
249,India,2002,IND,January 13 2002,January 18 2002,5,1,2,11,Zhu Rongji|11,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-01/14/01-50E67DA549976B7F48256B4000810626.htm,January 15 2022,NA,NA,Asia,28.6139,77.2089,3786.246614675140
250,Turkey,2002,TUR,April 15 2002,April 19 2002,4,1,1,12,Zhu Rongji|12,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-04/16/01-3FFCEBE16DBFBD7548256B9C0080CBBF.htm,January 15 2022,NA,NA,Asia,39.93,32.85,6851.117849572520
251,Egypt,2002,EGY,April 19 2002,April 23 2002,4,1,2,12,Zhu Rongji|12,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-04/20/01-762022DF0ED95BF048256BA1000C7DE4.htm,January 15 2022,NA,NA,Africa,30.0444,31.2358,7560.1201357495400
252,Kenya,2002,KEN,April 23 2002,April 26 2002,3,1,3,12,Zhu Rongji|12,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-04/24/01-C458130BA633D8D748256BA400805621.htm,January 15 2022,NA,NA,Africa,-1.2864,36.8172,9215.640061220100
253,Algeria,2002,DZA,August 25 2002,August 27 2002,2,1,1,13,Zhu Rongji|13,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-08/26/01-6F3A2FC82093A12148256C21000043D7.htm,January 15 2022,NA,NA,Africa,36.7325,3.0872,9132.03076734492
254,Morocco,2002,MAR,August 27 2002,August 29 2002,2,1,2,13,Zhu Rongji|13,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-08/28/01-78E53EEE8D7C952148256C2300002B29.htm,January 15 2022,NA,NA,Africa,34.0209,-6.8416,9963.768407706260
255,Cameroon,2002,CMR,August 29 2002,August 31 2002,2,1,3,13,Zhu Rongji|13,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-08/30/01-64D3CEDBE30D37DE48256C2400826C04.htm,January 15 2022,NA,NA,Africa,3.8667,11.5167,10997.969547251700
256,South Africa,2002,ZAF,August 31 2002,September 6 2002,6,1,4,13,Zhu Rongji|13,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-09/01/01-7972188271205DA448256C27000116F7.htm,January 15 2022,Earth Summit,NA,Africa,-33.9253,18.4239,12945.448035849100
257,Austria,2002,AUT,September 19 2002,September 22 2002,3,1,1,14,Zhu Rongji|14,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-09/21/02-84DD9B9FA7A5A5AE48256C3B00115121.htm,January 15 2022,NA,NA,Europe,48.2083,16.3725,7480.373935318700
258,Denmark,2002,DNK,September 22 2002,September 26 2002,4,1,2,14,Zhu Rongji|14,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-09/23/01-6EB68BBF9022BD3E48256C3D0003FB3B.htm,January 15 2022,Asia-Europe Meeting & China-EU Summit,NA,Europe,55.6805,12.5615,7221.262420520210
259,France,2002,FRA,September 26 2002,September 28 2002,2,1,3,14,Zhu Rongji|14,Zhu Rongji,1,Premier,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/oz_678770/1206_679134/xgxw_679140/200209/t20020927_9338321.shtml,January 15 2022,NA,NA,Europe,48.8567,2.3522,8238.77077033595
260,Cambodia,2002,KHM,November 1 2002,November 5 2002,4,0,1,,Zhu Rongji|solo:260,Zhu Rongji,1,Premier,https://www.gmw.cn/01gmrb/2002-11/02/02-71CDB9D04DADFEEF48256C64008305C7.htm,January 15 2022,ASEAN,NA,Asia,11.5696,104.921,3337.2164557080500
261,United States,2003,USA,December 7 2003,December 10 2003,3,1,1,16,Wen Jiabao|16,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2003-12/09/01-6FFA4510CDECC46048256DF6008328D3.htm,January 15 2022,NA,NA,Americas,38.9047,-77.0163,11171.267620605200
262,Canada,2003,CAN,December 10 2003,December 12 2003,2,1,2,16,Wen Jiabao|16,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2003-12/13/02-FE25E9E7E35B769548256DFA0082FB26.htm,January 15 2022,NA,NA,Americas,45.4247,-75.695,10476.325449049400
263,Mexico,2003,MEX,December 12 2003,December 13 2003,1,1,3,16,Wen Jiabao|16,Wen Jiabao,2,Premier,https://www.fmprc.gov.cn/ce/cohk/chn/zt/2003zt/wzlsg/t56166.htm,January 15 2022,NA,NA,Americas,19.4333,-99.1333,12476.869047922800
264,Ethiopia,2003,ETH,December 14 2003,December 16 2003,2,1,4,16,Wen Jiabao|16,Wen Jiabao,2,Premier,https://www.fmprc.gov.cn/ce/cohk/chn/zt/2003zt/wzlsg/t56236.htm,January 15 2022,Forum on China-Africa Cooperation,NA,Africa,9.03,38.74,8321.79811036877
265,Germany,2004,DEU,May 2 2004,May 5 2004,3,1,1,17,Wen Jiabao|17,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-05/03/content_20578.htm,January 15 2022,NA,NA,Europe,52.52,13.405,7377.456964000470
266,Belgium,2004,BEL,May 5 2004,May 6 2004,1,1,2,17,Wen Jiabao|17,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-05/07/content_20980.htm,January 15 2022,NA,NA,Europe,50.8467,4.3525,7983.3477348804
267,Italy,2004,ITA,May 6 2004,May 9 2004,3,1,3,17,Wen Jiabao|17,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-05/08/content_21085.htm,January 15 2022,NA,NA,Europe,41.8931,12.4828,8147.144457193310
268,United Kingdom,2004,GBR,May 9 2004,May 11 2004,2,1,4,17,Wen Jiabao|17,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-05/10/content_21888.htm,January 15 2022,NA,NA,Europe,51.5072,-0.1275,8162.979802551350
269,Ireland,2004,IRL,May 11 2004,May 12 2004,1,1,5,17,Wen Jiabao|17,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-05/13/content_26863.htm,January 15 2022,NA,NA,Europe,53.3497,-6.2603,8304.716070557830
270,Kyrgyz Republic,2004,KGZ,September 21 2004,September 23 2004,2,1,1,18,Wen Jiabao|18,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-09/22/content_104715.htm,January 15 2022,Shanghai Cooperation Organization,NA,Asia,42.8667,74.5667,3479.038913487960
271,Russian Federation,2004,RUS,September 23 2004,September 25 2004,2,1,2,18,Wen Jiabao|18,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-09/24/content_106114.htm,January 15 2022,NA,NA,Europe,55.7506,37.6175,5809.313471098180
272,Vietnam,2004,VNM,October 6 2004,October 9 2004,3,0,1,,Wen Jiabao|solo:272,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-10/08/content_110890.htm,January 15 2022,Asia-Europe Meeting,NA,Asia,21,105.85,2323.9538310795200
273,Lao People's Dem.Rep,2004,LAO,November 28 2004,November 30 2004,2,0,1,,Wen Jiabao|solo:273,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2004-11/29/content_140022.htm,January 15 2022,ASEAN,NA,Asia,17.98,102.63,2768.5919144738700
274,Netherlands,2004,NLD,December 7 2004,December 9 2004,2,0,1,,Wen Jiabao|solo:274,Wen Jiabao,2,Premier,https://www.mfa.gov.cn/chn/pds/gjhdq/gj/oz/1206_18/xgxw/t173555.htm,January 15 2022,China-EU Summit,NA,Europe,52.3728,4.8936,7843.416444963650
275,Pakistan,2005,PAK,April 5 2005,April 7 2005,2,1,1,22,Wen Jiabao|22,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-04/06/content_210596.htm,January 15 2022,Asia Cooperation Dialogue,NA,Asia,33.6931,73.0639,3890.363787500010
276,Bangladesh,2005,BGD,April 7 2005,April 8 2005,1,1,2,22,Wen Jiabao|22,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-04/08/content_212215.htm,January 15 2022,NA,NA,Asia,23.7289,90.3944,3027.5947161752700
277,Sri Lanka,2005,LKA,April 8 2005,April 9 2005,1,1,3,22,Wen Jiabao|22,Wen Jiabao,2,Premier,https://www.fmprc.gov.cn/web/gjhdq_676201/gj_676203/yz_676205/1206_676884/1207_676896/200504/t20050412_9303257.shtml,January 15 2022,NA,NA,Asia,6.9167,79.8333,5160.745316141560
278,India,2005,IND,April 9 2005,April 12 2005,3,1,4,22,Wen Jiabao|22,Wen Jiabao,2,Premier,http://www.gov.cn/ldhd/2005-04/10/content_14508.htm,January 15 2022,NA,NA,Asia,28.6139,77.2089,3786.246614675140
279,France,2005,FRA,December 4 2005,December 7 2005,3,1,1,23,Wen Jiabao|23,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-12/05/content_340792.htm,January 15 2022,NA,NA,Europe,48.8567,2.3522,8238.77077033595
280,Slovak Republic,2005,SVK,December 7 2005,December 8 2005,1,1,2,23,Wen Jiabao|23,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-12/08/content_342605.htm,January 15 2022,NA,NA,Europe,48.1447,17.1128,7439.160055726190
281,Czech Republic,2005,CZE,December 8 2005,December 9 2005,1,1,3,23,Wen Jiabao|23,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-12/09/content_343350.htm,January 15 2022,NA,NA,Europe,50.0875,14.4214,7476.227639743260
282,Portugal,2005,PRT,December 9 2005,December 10 2005,1,1,4,23,Wen Jiabao|23,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-12/11/content_344223.htm,January 15 2022,NA,NA,Europe,38.7122,-9.134,9690.967143302890
283,Malaysia,2005,MYS,December 11 2005,December 15 2005,4,1,5,23,Wen Jiabao|23,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2005-12/12/content_344422.htm,January 15 2022,ASEAN,NA,Asia,3.1686,101.698,4330.660041896570
284,Australia,2006,AUS,April 1 2006,April 4 2006,3,1,1,24,Wen Jiabao|24,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-04/02/content_397793.htm,January 15 2022,NA,NA,Oceania,-35.2931,149.1269,8977.611306861190
285,Fiji,2006,FJI,April 4 2006,April 5 2006,1,1,2,24,Wen Jiabao|24,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-04/05/content_399120.htm,January 15 2022,China-Pacific Island Countries Economic Development and Cooperation Forum,NA,Oceania,-18.1333,178.4333,9083.969931356640
286,New Zealand,2006,NZL,April 5 2006,April 7 2006,2,1,3,24,Wen Jiabao|24,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-04/06/content_399816.htm,January 15 2022,NA,NA,Oceania,-41.2889,174.7772,10754.829316528500
287,Cambodia,2006,KHM,April 7 2006,April 8 2006,1,1,4,24,Wen Jiabao|24,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-04/08/content_401071.htm,January 15 2022,NA,NA,Asia,11.5696,104.921,3337.2164557080500
288,Egypt,2006,EGY,June 17 2006,June 18 2006,1,1,1,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/18/content_435503.htm,January 15 2022,NA,NA,Africa,30.0444,31.2358,7560.1201357495400
289,Ghana,2006,GHA,June 18 2006,June 19 2006,1,1,2,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/20/content_436423.htm,January 15 2022,NA,NA,Africa,5.5461,-0.2067,11827.418115901900
290,"Congo, Republic of",2006,COG,June 19 2006,June 20 2006,1,1,3,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/21/content_437142.htm,January 15 2022,NA,NA,Africa,-4.2667,15.2667,11265.762226257400
291,Angola,2006,AGO,June 20 2006,June 21 2006,1,1,4,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/22/content_437780.htm,January 15 2022,NA,NA,Africa,-8.8383,13.2344,11760.442844554200
292,South Africa,2006,ZAF,June 21 2006,June 22 2006,1,1,5,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/23/content_438332.htm,January 15 2022,NA,NA,Africa,-33.9253,18.4239,12945.448035849100
293,Tanzania,2006,TZA,June 22 2006,June 23 2006,1,1,6,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/24/content_439137.htm,January 15 2022,NA,NA,Africa,-6.1731,35.7419,9657.427156679740
294,Uganda,2006,UGA,June 23 2006,June 24 2006,1,1,7,25,Wen Jiabao|25,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-06/25/content_439518.htm,January 15 2022,NA,NA,Africa,0.3136,32.5811,9462.047248695530
295,Finland,2006,FIN,September 9 2006,September 12 2006,3,1,1,26,Wen Jiabao|26,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-09/10/content_477588.htm,January 15 2022,Asia-Europe Meeting & China-EU Summit,NA,Europe,60.1708,24.9375,6339.186023886990
296,United Kingdom,2006,GBR,September 12 2006,September 13 2006,1,1,2,26,Wen Jiabao|26,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-09/14/content_479666.htm,January 15 2022,NA,NA,Europe,51.5072,-0.1275,8162.979802551350
297,Germany,2006,DEU,September 13 2006,September 14 2006,1,1,3,26,Wen Jiabao|26,Wen Jiabao,2,Premier,http://www.gov.cn/ldhd/2006-09/14/content_388141.htm,January 15 2022,NA,NA,Europe,52.52,13.405,7377.456964000470
298,Tajikistan,2006,TJK,September 14 2006,September 16 2006,2,1,4,26,Wen Jiabao|26,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2006-09/16/content_480778.htm,January 15 2022,Shanghai Cooperation Organization,NA,Asia,38.5367,68.78,4066.2957656649100
299,Philippines,2007,PHL,January 15 2007,January 16 2007,1,0,1,,Wen Jiabao|solo:299,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-01/16/content_536436.htm,January 15 2022,ASEAN,NA,Asia,14.5958,120.9772,2839.8394695885400
300,"Korea, Republic of",2007,KOR,April 10 2007,April 11 2007,1,1,1,28,Wen Jiabao|28,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-04/11/content_588277.htm,January 15 2022,NA,NA,Asia,37.5667,126.9833,954.7917254354350
301,Japan,2007,JPN,April 11 2007,April 13 2007,2,1,2,28,Wen Jiabao|28,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-04/12/content_589135.htm,January 15 2022,NA,NA,Asia,35.687,139.7495,2101.9517286556700
302,Uzbekistan,2007,UZB,November 2 2007,November 3 2007,1,1,1,29,Wen Jiabao|29,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-11/03/content_692535.htm,January 15 2022,Shanghai Cooperation Organization,NA,Asia,41.3111,69.2797,3941.923515260980
303,Turkmenistan,2007,TKM,November 3 2007,November 4 2007,1,1,2,29,Wen Jiabao|29,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-11/04/content_692606.htm,January 15 2022,NA,NA,Asia,37.9375,58.38,4946.433228108020
304,Belarus,2007,BLR,November 4 2007,November 5 2007,1,1,3,29,Wen Jiabao|29,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-11/05/content_692753.htm,January 15 2022,NA,NA,Europe,53.9006,27.5586,6485.518338341070
305,Russian Federation,2007,RUS,November 5 2007,November 7 2007,2,1,4,29,Wen Jiabao|29,Wen Jiabao,2,Premier,https://www.gmw.cn/01gmrb/2007-11/06/content_693386.htm,January 15 2022,NA,NA,Europe,55.7506,37.6175,5809.313471098180
306,Singapore,2007,SGP,November 18 2007,November 21 2007,3,0,1,,Wen Jiabao|solo:306,Wen Jiabao,2,Premier,http://www.gov.cn/ldhd/2007-11/19/content_809506.htm,January 15 2022,ASEAN,NA,Asia,1.3,103.8,4461.914565010560
